,account_id,date,amount,balance,status
0,1787,1993-03-22,1100.0,1100.0,B
1,1787,1993-04-21,9900.0,11000.0,B
2,1787,1993-05-21,5800.0,16800.0,B
3,1787,1993-06-20,3300.0,20100.0,B
4,1787,1993-07-08,42248.0,62348.0,B
5,1787,1993-07-20,-16600.0,45748.0,B
6,1787,1993-07-31,73.8,45821.8,B
7,1787,1993-08-19,-12400.0,33421.8,B
8,1787,1993-08-31,190.6,33612.4,B
9,1787,1993-09-18,-3300.0,30312.4,B
10,1787,1993-09-30,190.6,30503.0,B
11,1787,1993-10-18,-800.0,29703.0,B
12,1787,1993-10-31,190.6,29893.6,B
13,1787,1993-11-17,-4800.0,25093.6,B
14,1787,1993-11-30,190.6,25284.2,B
15,1787,1993-12-17,-900.0,24384.2,B
16,1787,1993-12-31,190.6,24574.8,B
17,1787,1994-01-12,5871.0,30445.8,B
18,1787,1994-01-13,33412.0,63857.8,B
19,1787,1994-01-15,28572.0,92429.8,B
20,1787,1994-01-16,-35400.0,57029.8,B
21,1787,1994-01-31,226.0,57255.8,B
22,1787,1994-02-15,-16200.0,41055.8,B
23,1787,1994-02-23,42057.0,83112.9,B
24,1787,1994-02-28,260.9,83373.8,B
25,1787,1994-02-28,-30.0,83343.8,B
26,1787,1994-03-01,-3400.0,79943.8,B
27,1787,1994-03-12,-8033.2,71910.6,B
28,1787,1994-03-17,-24500.0,47410.6,B
29,1787,1994-03-26,-8100.0,39310.6,B
30,1787,1994-03-27,40719.0,80029.6,B
31,1787,1994-03-31,288.0,80317.6,B
32,1787,1994-03-31,-30.0,80287.6,B
33,1787,1994-04-12,-8033.2,72254.4,B
34,1787,1994-04-16,-20900.0,48054.4,B
35,1787,1994-04-16,-3300.0,68954.4,B
36,1787,1994-04-23,38553.0,86607.4,B
37,1787,1994-04-24,27272.0,113879.4,B
38,1787,1994-04-24,-60700.0,53179.4,B
39,1787,1994-04-30,277.7,53457.1,B
40,1787,1994-04-30,-30.0,53427.1,B
41,1787,1994-05-09,7353.0,60780.1,B
42,1787,1994-05-10,-4800.0,55980.1,B
43,1787,1994-05-12,-8033.2,47947.0,B
44,1787,1994-05-13,10423.0,58370.0,B
45,1787,1994-05-16,-15400.0,42970.0,B
46,1787,1994-05-26,-6000.0,36970.0,B
47,1787,1994-05-31,197.1,37167.1,B
48,1787,1994-05-31,-30.0,37137.1,B
49,1787,1994-06-02,-3500.0,33637.1,B
50,1787,1994-06-10,10272.0,43909.1,B
51,1787,1994-06-12,-8033.2,35875.9,B
52,1787,1994-06-13,37865.0,73740.9,B
53,1787,1994-06-15,-21800.0,51940.9,B
54,1787,1994-06-17,6965.0,58905.9,B
55,1787,1994-06-19,38705.0,97610.9,B
56,1787,1994-06-22,-2400.0,95210.9,B
57,1787,1994-06-24,27198.0,122408.9,B
58,1787,1994-06-24,-62900.0,59508.9,B
59,1787,1994-06-30,239.7,59748.6,B
60,1787,1994-06-30,-30.0,59718.6,B
61,1787,1994-07-12,13784.0,73502.6,B
62,1787,1994-07-12,-4500.0,69002.6,B
63,1787,1994-07-15,-16600.0,52402.6,B
64,1787,1994-07-17,-3900.0,48502.6,B
65,1787,1994-07-21,25039.0,73541.6,B
66,1787,1994-07-22,-7400.0,66141.6,B
67,1787,1994-07-23,41730.0,107871.6,B
68,1787,1994-07-31,305.6,108177.2,B
69,1787,1994-07-31,-30.0,108147.2,B
70,1787,1994-08-04,-3300.0,104847.2,B
71,1787,1994-08-07,31966.0,136813.2,B
72,1787,1994-08-07,-41200.0,95613.2,B
73,1787,1994-08-11,-64700.0,52145.2,B
74,1787,1994-08-11,21232.0,116845.2,B
75,1787,1994-08-14,-7000.0,45145.2,B
76,1787,1994-08-26,-13800.0,31345.2,B
77,1787,1994-08-26,-9100.0,22245.2,B
78,1787,1994-08-31,309.2,22554.3,B
79,1787,1994-08-31,-30.0,56243.3,B
80,1787,1994-08-31,33719.0,56273.3,B
81,1787,1994-09-03,32618.0,88861.3,B
82,1787,1994-09-08,-3200.0,85661.3,B
83,1787,1994-09-09,27489.0,113150.3,B
84,1787,1994-09-09,-51400.0,61750.3,B
85,1787,1994-09-11,-5800.0,55950.3,B
86,1787,1994-09-13,-23700.0,57311.3,B
87,1787,1994-09-13,25061.0,81011.3,B
88,1787,1994-09-18,47303.0,104614.3,B
89,1787,1994-09-23,-31700.0,85146.3,B
90,1787,1994-09-23,12232.0,116846.3,B
91,1787,1994-09-26,-50600.0,74265.3,B
92,1787,1994-09-26,39719.0,124865.3,B
93,1787,1994-09-30,328.0,74593.4,B
94,1787,1994-09-30,-30.0,74563.4,B
95,1787,1994-10-02,-4700.0,69863.4,B
96,1787,1994-10-13,-11300.0,58563.4,B
97,1787,1994-10-13,-14100.0,44463.4,B
98,1787,1994-10-14,-14700.0,29763.4,B
99,1787,1994-10-22,9898.0,39661.4,B
100,1787,1994-10-31,210.2,39871.6,B
101,1787,1994-10-31,-7400.0,32471.6,B
102,1787,1994-10-31,-30.0,32441.6,B
103,1787,1994-11-10,-3900.0,28541.6,B
104,1787,1994-11-12,800.0,29341.6,B
105,1787,1994-11-17,35474.0,64815.6,B
106,1787,1994-11-30,195.5,65011.1,B
107,1787,1994-11-30,-30.0,64981.1,B
108,1787,1994-12-08,-3400.0,61581.1,B
109,1787,1994-12-12,-10400.0,51181.1,B
110,1787,1994-12-14,-7700.0,43481.1,B
111,1787,1994-12-16,-1500.0,41981.1,B
112,1787,1994-12-22,-11700.0,30281.1,B
113,1787,1994-12-28,-3500.0,26781.1,B
114,1787,1994-12-31,193.7,26974.8,B
